,Label,Model,Year,HP,Min cost,Max cost
104,Volvo,C30,2011,227,8.487,14.478
105,Chevrolet,Aveo,2008,103,3.134,3.576
106,FIAT,500,2014,101,8.064,12.016
107,Ford,C-Max Energi,2015,188,14.321,14.321
108,Dodge,Caliber,2010,158,4.887,6.284
109,Alfa Romeo,Giulia,2020,280,37.464,72.816
110,Audi,A3,2013,140,10.505,14.199
111,Honda,Accord,2015,185,16.61,21.789
112,BMW,2-Series,2021,228,35.7,52.95
113,Volvo,C30,2010,227,7.183,8.057
114,Acura,ILX,2013,150,12.537,13.827
115,Buick,Enclave,2019,310,34.454,45.406
116,Chevrolet,Aveo,2007,103,2.901,3.216
117,Chrysler,300,2021,292,31.875,38.825
118,Genesis,G80,2020,311,43.636,65.272
119,Volvo,C30,2012,227,10.712,14.574
120,FIAT,500,2013,101,7.287,10.794
121,GMC,Acadia,2015,281,19.101,26.745
122,Alfa Romeo,Giulia,2019,280,30.59,60.27
123,Audi,A3,2012,140,10.715,11.763
124,Dodge,Caliber,2009,148,4.853,7.367
125,Ford,C-Max Energi,2014,188,12.362,12.362
126,Honda,Accord,2014,185,14.501,18.729
127,BMW,2-Series,2020,228,35.41,52.765
128,Acura,ILX Hybrid,2014,111,13.802,16.564
129,Cadillac,CT4,2021,237,33.395,44.895
130,Volvo,C30,2009,227,6.682,10.62
131,Genesis,G80,2019,311,36.649,47.446
132,FIAT,500,2012,101,5.795,9.635
133,Volvo,C30,2011,227,8.487,14.478
134,Chrysler,300,2020,292,30.29,43.386
135,GMC,Acadia,2014,288,17.357,23.267
136,Buick,Enclave,2018,310,30.378,41.235
137,Audi,A3,2011,140,8.72,10.167
138,Alfa Romeo,Giulia,2018,280,26.875,55.613
139,Honda,Accord,2013,185,13.388,16.881
140,Dodge,Caliber,2008,148,4.108,7.818
141,Ford,C-Max Energi,2013,N/A,10.181,10.181
142,Acura,ILX Hybrid,2013,111,12.583,13.85
143,Cadillac,CT4,2020,237,36.053,48.377
144,Buick,Enclave,2017,288,27.711,34.057
145,BMW,2-Series,2019,248,31.306,59.497
146,Volvo,C30,2010,227,7.183,8.057
147,GMC,Acadia,2013,288,15.099,20.421
148,Volvo,C30,2008,227,3.582,8.016
149,Dodge,Caliber,2007,148,3.752,4.169
150,FIAT,500L,2020,160,20.555,22.832
151,Honda,Accord,2012,177,11.227,14.164
152,Genesis,G80,2018,311,31.51,40.909
153,Chrysler,300,2019,292,27.185,36.943
154,Audi,A3,2010,140,6.526,9.041
155,Alfa Romeo,Giulia,2017,280,25.761,48.711
156,Ford,C-Max Hybrid,2018,188,19.356,22.093
157,Buick,Enclave,2016,288,23.249,28.773
158,BMW,2-Series,2018,248,29.849,53.028
159,GMC,Acadia,2012,288,10.234,14.047
160,FIAT,500L,2019,160,19.67,22.329
161,Volvo,C30,2009,227,6.682,10.62
162,Genesis,G80,2017,311,28.338,32.149
163,Audi,A3,2009,200,6.772,9.881
164,Chrysler,300,2018,292,24.459,31.99
165,Ford,C-Max Hybrid,2017,188,17.601,19.356
166,Honda,Accord,2011,177,8.633,10.853
167,Buick,Enclave,2015,288,20.106,24.247
168,GMC,Acadia,2011,288,9.213,12.13
169,Volvo,C30,2008,227,3.582,8.016
170,FIAT,500L,2018,160,16.12,18.241
171,BMW,2-Series,2017,248,24.648,46.551
172,Audi,A3,2008,200,5.201,7.699
173,Honda,Accord,2010,177,5.566,11.099
174,Chevrolet,Blazer,2021,193,32.491,48.896
175,Chrysler,300,2017,292,22.777,29.248
176,Ford,C-Max Hybrid,2016,188,15.359,16.783
177,Buick,Enclave,2014,288,17.677,21.877
178,GMC,Acadia,2010,288,7.885,9.28
179,FIAT,500L,2017,160,14.96,17.219
180,BMW,2-Series,2016,240,22.49,43.266
181,Audi,A3,2007,200,5.561,6.121
182,Chevrolet,Blazer,2020,193,31.16,48.93
183,Honda,Accord,2009,177,5.9,9.059
184,Buick,Enclave,2013,288,15.534,18.473
185,Ford,C-Max Hybrid,2015,188,13.607,14.009
186,GMC,Acadia,2009,288,6.758,7.913
187,Chrysler,300,2016,292,20.33,27.521
188,Volvo,C70,2013,227,16.427,21.555
189,BMW,2-Series,2015,240,20.217,28.214
190,FIAT,500L,2016,160,13.429,16.317
191,Dodge,Challenger,2021,303,29.45,60.15
192,Chevrolet,Blazer,2019,193,28.395,45.327
193,Buick,Enclave,2012,288,11.074,12.179
194,Ford,C-Max Hybrid,2014,188,11.875,12.272
195,Honda,Accord,2008,177,4.708,9.53
196,Alfa Romeo,Stelvio,2021,280,42.35,81.25
197,GMC,Acadia,2008,275,6.441,7.619
198,Chrysler,300,2015,292,19.511,25.616
199,Volvo,C70,2012,227,12.77,13.741
200,Genesis,G90,2021,365,72.95,79.2
201,BMW,2-Series,2014,240,16.439,21.657
202,Dodge,Challenger,2020,305,32.574,84.819
203,FIAT,500L,2015,160,11.574,13.391
204,Buick,Enclave,2011,288,9.599,11.269
205,Honda,Accord,2007,166,3.606,6.746
206,Ford,C-Max Hybrid,2013,N/A,9.556,9.856
207,Volvo,C70,2011,227,9.84,9.84
208,GMC,Acadia,2007,275,5.737,6.641
209,Chrysler,300,2014,292,15.625,28.278
210,Alfa Romeo,Stelvio,2020,280,42.149,82.053
211,Genesis,G90,2020,365,65.659,71.793
212,Volvo,C70,2013,227,16.427,21.555
213,Dodge,Challenger,2019,305,29.674,66.205
214,Volvo,C70,2010,227,8.922,9.894
215,Buick,Enclave,2010,288,8.474,10.037
216,FIAT,500L,2014,160,9.004,11.01
217,Audi,A4,2021,201,40.213,59.382
218,Chrysler,300,2013,292,13.308,22.725
219,Alfa Romeo,Stelvio,2019,280,33.116,67.044
220,Acura,MDX,2020,290,42.475,54.625
221,Genesis,G90,2019,365,52.018,57.348
222,Buick,Enclave,2009,288,6.599,7.631
223,Volvo,C70,2012,227,12.77,13.741
224,Chevrolet,Bolt,2020,200,33.333,37.03
225,Dodge,Challenger,2018,305,28.005,113.461
226,Volvo,C70,2009,227,8.514,8.653
227,Cadillac,CT5,2021,237,36.995,47.795
228,Ford,E-Series,2012,225,13.867,26.63
229,Audi,A4,2020,188,35.853,60.578
230,Chrysler,300,2012,292,10.56,21.692
231,Buick,Enclave,2008,275,6.654,7.321
232,Alfa Romeo,Stelvio,2018,280,29.676,33.417
233,Volvo,C70,2011,227,9.84,9.84
234,Volvo,C70,2008,227,6.196,7.086
235,Dodge,Challenger,2017,305,25.716,54.407
236,Genesis,G90,2018,365,43.462,46.259
237,Chevrolet,Bolt,2019,200,25.336,28.51
238,Cadillac,CT5,2020,237,40.521,57.945
239,Acura,MDX,2019,290,38.504,47.546
240,Ford,E-Series,2011,225,10.968,21.211
241,BMW,3-Series,2021,180,41.25,56.7
242,Audi,A4,2019,188,31.785,49.578
243,Chrysler,300,2011,292,9.103,12.111
244,Volvo,C70,2010,227,8.922,9.894
245,Dodge,Challenger,2016,305,23.922,52.243
246,Genesis,G90,2017,365,36.999,40.421
247,GMC,Canyon,2021,181,30.988,49.4
248,FIAT,500X,2021,177,26.215,31.455
249,Ford,E-Series,2010,225,10.08,18.389
250,Chevrolet,Bolt,2018,200,22.857,25.668
251,Honda,Accord Hybrid,2021,143,26.57,36.44
252,Volvo,S40,2011,227,7.053,12.446
253,BMW,3-Series,2020,255,41.531,56.726
254,Buick,Encore,2021,138,23.2,25.22
255,Acura,MDX,2018,290,35.267,42.823
256,Dodge,Challenger,2015,305,21.543,46.049
257,Chrysler,300,2010,178,6.406,11.129
258,Volvo,C70,2009,227,8.514,8.653
259,Audi,A4,2018,190,27.584,43.045
260,GMC,Canyon,2020,181,24.095,44.422
261,Ford,Econoline,2008,225,7.87,10.114
262,Chevrolet,Bolt,2017,200,22.133,23.229
263,Volvo,S40,2010,168,5.831,10.031
264,FIAT,500X,2020,177,23.21,28.137
265,Honda,Accord Hybrid,2020,143,28.623,35.722
266,Acura,MDX,2017,290,31.566,37.172
267,Buick,Encore,2020,138,23.503,28.506
268,BMW,3-Series,2019,248,38.082,43.301
269,Volvo,C70,2008,227,6.196,7.086
270,Dodge,Challenger,2014,305,18.456,30.159
271,Audi,A4,2017,190,25.14,33.141
272,Chrysler,300,2009,178,6.236,14.419
273,GMC,Canyon,2019,181,23.715,43.219
274,Volvo,S40,2009,168,5.974,7.021
275,Volvo,C30,2013,227,11.945,16.953
276,Honda,Accord Hybrid,2019,212,26.426,33.083
277,Dodge,Challenger,2013,305,16.32,24.869
278,FIAT,500X,2019,177,21.56,26.143
279,Acura,MDX,2016,290,25.147,30.1
280,Buick,Encore,2019,138,21.163,25.674
281,Cadillac,CT6,2020,335,58.204,94.748
282,Audi,A4,2016,220,21.369,36.356
283,BMW,3-Series,2018,180,26.877,63.839
284,Chrysler,300,2008,178,4.522,7.684
285,Volvo,C30,2012,227,10.712,14.574
286,GMC,Canyon,2018,181,21.198,39.406
287,Volvo,S40,2008,168,4.29,8.736
288,Ford,EcoSport,2021,123,20.395,28.345
289,Honda,Accord Hybrid,2018,212,24.504,30.581
290,Volvo,S40,2011,227,7.053,12.446
291,Buick,Encore,2018,138,19.113,25.524
292,Dodge,Challenger,2012,305,13.824,20.463
293,Audi,A4,2015,220,18.857,32.071
294,Acura,MDX,2015,290,24.807,29.117
295,FIAT,500X,2018,160,15.667,21.8
296,Cadillac,CT6,2019,237,39.897,86.81
297,Chrysler,300,2007,190,4.721,7.899
298,BMW,3-Series,2017,180,22.245,55.944
299,Volvo,C30,2011,227,8.487,14.478
300,Volvo,S40,2007,168,4.533,7.939
301,Volvo,S40,2010,168,5.831,10.031
302,GMC,Canyon,2017,181,20.411,37.676
303,Ford,EcoSport,2020,123,19.718,25.264
304,Dodge,Challenger,2011,305,12.461,17.427
305,Honda,Accord Hybrid,2017,212,22.544,25.671
306,Acura,MDX,2014,290,20.552,23.221
307,FIAT,500X,2017,160,16.675,20.267
308,Buick,Encore,2017,138,18.617,23.774
309,Audi,A4,2014,220,15.838,27.227
310,Chrysler,Aspen,2009,303,7.066,9.842
311,Cadillac,CT6,2018,265,37.531,53.364
312,Volvo,S40,2009,168,5.974,7.021
313,BMW,3-Series,2016,180,20.368,50.586
314,Ford,EcoSport,2019,123,19.37,22.855
315,Volvo,C30,2010,227,7.183,8.057
316,GMC,Canyon,2016,181,19.616,33.534
317,Dodge,Challenger,2010,250,11.299,13.765
318,Honda,Accord Hybrid,2015,195,18.597,21.012
319,Audi,A4,2013,211,12.758,22.928
320,FIAT,500X,2016,160,12.488,17.076
321,Cadillac,CT6,2017,265,35.553,48.142
322,Chrysler,Aspen,2008,345,6.152,6.418
323,Buick,Encore,2016,138,17.255,20.288
324,Volvo,S40,2008,168,4.29,8.736
325,Acura,MDX,2013,300,17.116,19.32
326,BMW,3-Series,2015,180,18.12,45.121
327,Volvo,C30,2009,227,6.682,10.62
328,Ford,EcoSport,2018,123,17.667,21.587
329,GMC,Canyon,2015,200,18.051,28.478
330,Dodge,Challenger,2009,250,10.201,13.597
331,Audi,A4,2012,211,10.08,12.574
332,Honda,Accord Hybrid,2014,195,16.13,17.704
333,Volvo,C30,2013,227,11.945,16.953
334,Chrysler,Aspen,2007,235,6.267,6.593
335,Acura,MDX,2012,300,15.347,16.635
336,Volvo,S40,2007,168,4.533,7.939
337,Cadillac,CT6,2016,265,30.531,41.67
338,Buick,Encore,2015,138,15.426,17.394
339,BMW,3-Series,2014,180,15.296,21.16
340,Dodge,Challenger,2008,425,16.619,16.619
341,GMC,Canyon,2012,185,8.785,17.584
342,Volvo,C30,2008,227,3.582,8.016
343,Volvo,S60,2021,250,38.95,64.8
344,Audi,A4,2011,211,9.122,10.927
345,Honda,Accord Hybrid,2007,253,5.309,6.038
346,Volvo,C30,2012,227,10.712,14.574
347,Genesis,GV80,2021,300,48.9,65.55
348,Acura,MDX,2011,300,13.182,14.552
349,Cadillac,CTS,2019,265,33.39,80.113
350,Buick,Encore,2014,138,13.723,15.777
351,Chevrolet,Camaro,2021,275,31.557,76.372
352,GMC,Canyon,2011,185,7.824,18.638
353,BMW,3-Series,2013,180,13.134,32.38
354,Volvo,S60,2020,250,36.077,59.959
355,Audi,A4,2010,211,7.732,9.861
356,Acura,MDX,2010,300,11.043,12.149
357,Volvo,C30,2011,227,8.487,14.478
358,Volvo,C30,2013,227,11.945,16.953
359,Buick,Encore,2013,138,11.809,13.649
360,Cadillac,CTS,2018,265,31.874,77.12
361,GMC,Canyon,2010,185,6.793,14.106
362,BMW,3-Series,2012,230,12.729,20.472
363,Chevrolet,Camaro,2020,275,30.029,78.586
364,Ford,Edge,2021,250,32.75,43.6
365,Audi,A4,2009,211,6.375,8.216
366,Acura,MDX,2009,300,9.283,9.942
367,Volvo,S60,2019,250,32.329,45.676
368,Volvo,C30,2010,227,7.183,8.057
369,BMW,3-Series,2011,230,8.918,14.732
370,Volvo,C30,2012,227,10.712,14.574
371,Cadillac,CTS,2017,268,27.744,69.423
372,GMC,Canyon,2009,185,5.809,12.538
373,Audi,A4,2008,200,5.239,8.62
374,Dodge,Charger,2021,292,31.125,71.125
375,Acura,MDX,2008,300,9.043,9.689
376,Chevrolet,Camaro,2019,275,28.08,69.652
377,Volvo,S60,2021,250,38.95,64.8
378,Volvo,S60,2018,240,24.745,45.333
379,Ford,Edge,2020,250,30.571,44.628
380,Volvo,C30,2009,227,6.682,10.62
381,GMC,Canyon,2008,185,5.037,9.454
382,Volvo,C70,2013,227,16.427,21.555
383,Audi,A4,2007,200,3.566,6.707
384,Chrysler,Pacifica,2021,287,36.245,54.52
385,Volvo,C30,2011,227,8.487,14.478
386,BMW,3-Series,2010,230,7.788,11.564
387,Cadillac,CTS,2016,268,24.108,57.371
388,Acura,MDX,2007,300,6.573,6.839
389,Dodge,Charger,2020,292,31.763,82.408
390,Volvo,S60,2017,240,22.319,40.358
391,Chevrolet,Camaro,2018,275,25.993,63.431
392,Ford,Edge,2019,250,27.104,40.239
393,Volvo,S60,2020,250,36.077,59.959
394,Volvo,C30,2008,227,3.582,8.016
395,GMC,Canyon,2007,185,4.482,8.383
396,Honda,Civic,2021,158,24.648,56.354
397,Chrysler,Pacifica,2020,287,37.413,48.507
398,Volvo,C30,2010,227,7.183,8.057
399,Acura,MDX Hybrid,2020,257,53,59.75
400,BMW,3-Series,2009,230,7.279,12.095
401,Volvo,C70,2012,227,12.77,13.741
402,Dodge,Charger,2019,292,29.203,68.763
403,Cadillac,CTS,2015,272,19.366,39.493
404,GMC,Envoy,2009,285,6.16,7.18
405,Volvo,S60,2016,240,17.64,33.232
406,Chevrolet,Camaro,2017,275,25.877,59.582
407,Volvo,S60,2019,250,32.329,45.676
408,Honda,Civic,2020,158,23.382,31.745
409,Ford,Edge,2018,245,23.362,34.67
410,Volvo,C30,2009,227,6.682,10.62
411,Cadillac,CTS,2014,270,16.545,38.925
412,Volvo,C70,2011,227,9.84,9.84
413,Buick,Encore GX,2021,137,26.007,33.113
414,Chrysler,Pacifica,2019,287,27.808,40.587
415,BMW,3-Series,2008,230,6.229,9.852
416,Acura,MDX Hybrid,2019,321,44.873,48.143
417,GMC,Envoy,2008,285,5.106,7.571
418,Dodge,Charger,2018,292,27.813,65.804
419,Chevrolet,Camaro,2016,275,23.763,37.386
420,Honda,Civic,2019,158,21.562,42.544
421,Volvo,S60,2015,240,15.161,23.433
422,Ford,Edge,2017,245,21.686,30.888
423,Volvo,C30,2008,227,3.582,8.016
424,Volvo,S60,2018,240,24.745,45.333
425,BMW,3-Series,2007,230,5.393,7.005
426,Chrysler,Pacifica,2018,287,24.985,36.767
427,Acura,MDX Hybrid,2018,321,40.447,42.884
428,Cadillac,CTS,2013,270,12.508,34.572
429,Buick,Encore GX,2020,137,24.744,30.973
430,Volvo,C70,2010,227,8.922,9.894
431,GMC,Envoy,2007,291,5.139,6.556
432,Audi,A4 Allroad,2021,261,44.6,44.6
433,Chevrolet,Camaro,2015,323,18.648,50.81
434,Dodge,Charger,2017,292,24.215,56.835
435,Ford,Edge,2016,245,19.868,28.14
436,Volvo,S60,2014,250,13.611,21.304
437,Volvo,C70,2009,227,8.514,8.653
438,Chrysler,Pacifica,2017,287,23.688,33.681
439,Volvo,S60,2017,240,22.319,40.358
440,Honda,Civic,2018,158,20.043,39.233
441,Cadillac,CTS,2012,270,10.395,39.937
442,Acura,MDX Hybrid,2017,321,35.884,38.83
443,BMW,3-Series Hybrid,2014,240,16.685,18.527
444,Audi,A4 Allroad,2020,248,44.516,50.63
445,Chevrolet,Camaro,2014,323,16.922,37.57
446,Volvo,S60,2016,240,17.64,33.232
447,Volvo,C70,2013,227,16.427,21.555
448,Ford,Edge,2015,245,17.35,24.182
449,Volvo,C70,2008,227,6.196,7.086
450,Dodge,Charger,2016,292,21.145,53.187
451,Volvo,S60,2013,250,10.571,15.494
452,Honda,Civic,2017,158,18.451,33.9
453,Cadillac,CTS,2011,270,8.861,11.765
454,BMW,3-Series Hybrid,2013,335,14.794,14.794
455,Volvo,C70,2012,227,12.77,13.741
456,Ford,Edge,2014,240,14.715,19.816
457,Dodge,Charger,2015,292,19.719,47.655
458,Chevrolet,Camaro,2013,323,14.699,34.719
459,Volvo,S60,2012,250,8.816,13.352
460,Audi,A4 Wagon,2012,211,11.764,13.006
461,Volvo,S60,2015,240,15.161,23.433
462,BMW,3-Series Wagon,2012,230,13.519,14.283
463,Acura,NSX,2021,500,157.5,157.5
464,Cadillac,CTS,2010,270,6.354,8.033
465,Honda,Civic,2016,158,16.827,20.86
466,Buick,Envision,2021,228,34.575,45.737
467,Chevrolet,Camaro,2012,323,13.747,21.145
468,Volvo,S40,2011,227,7.053,12.446
469,Ford,Edge,2013,240,12.285,17.077
470,Volvo,S60,2011,300,9.331,9.438
471,Audi,A4 Wagon,2011,211,10.288,11.168
472,Volvo,C70,2011,227,9.84,9.84
473,Volvo,C70,2013,227,16.427,21.555
474,BMW,3-Series Wagon,2011,230,9.59,10.353
475,Dodge,Charger,2014,292,15.057,28.284
476,Cadillac,CTS,2009,263,5.014,6.15
477,Volvo,S60,2014,250,13.611,21.304
478,Acura,NSX,2020,500,159.402,159.402
479,Honda,Civic,2015,110,14.563,21.364
480,Chrysler,Pacifica Hybrid,2021,260,43.1,54.03
481,GMC,Savana,2012,195,13.797,23.614
482,Chevrolet,Camaro,2011,312,10.811,15.356
483,Volvo,S40,2010,168,5.831,10.031
484,Ford,Edge,2012,240,10.942,14.592
485,Buick,Envision,2020,197,31.919,40.681
486,Volvo,C70,2012,227,12.77,13.741
487,Volvo,C70,2010,227,8.922,9.894
488,Volvo,S60,2009,208,6.712,7.449
489,Audi,A4 Wagon,2010,211,7.637,8.993
490,BMW,3-Series Wagon,2010,230,9.025,9.398
491,Dodge,Charger,2013,292,13.477,26.029
492,Cadillac,CTS,2008,263,5.402,6.461
493,Acura,NSX,2019,573,151.976,151.976
494,Volvo,S60,2013,250,10.571,15.494
495,Honda,Civic,2014,110,12.983,19.075
496,Chevrolet,Camaro,2010,304,10.121,11.449
497,GMC,Savana,2011,195,13.143,33.659
498,Volvo,S40,2009,168,5.974,7.021
499,Ford,Edge,2011,285,9.374,12.633
500,Volvo,C70,2011,227,9.84,9.84
501,Chrysler,Pacifica Hybrid,2020,260,40.983,48.875
502,Audi,A4 Wagon,2009,211,6.736,7.522
503,Buick,Envision,2019,197,27.998,36.514
504,Dodge,Charger,2012,292,11.387,19.362
505,Volvo,C70,2009,227,8.514,8.653
506,Volvo,S60,2008,208,6.079,11.501
507,BMW,3-Series Wagon,2009,230,8.895,9.281
508,Cadillac,CTS,2007,210,5.208,12.816
509,Honda,Civic,2013,110,9.96,16.108
510,Acura,NSX,2018,573,137.373,137.373
511,Chevrolet,Cobalt,2010,155,4.613,8.367
512,Volvo,S60,2012,250,8.816,13.352
513,GMC,Savana,2010,195,10.273,19.576
514,Volvo,S40,2008,168,4.29,8.736
515,Ford,Edge,2010,265,7.911,9.732
516,Volvo,C70,2010,227,8.922,9.894
517,Buick,Envision,2018,197,23.422,32.508
518,Dodge,Charger,2011,292,9.494,13.54
519,Volvo,S60,2007,208,4.637,10.738
520,Chrysler,Pacifica Hybrid,2019,260,38.271,43.731
521,BMW,3-Series Wagon,2008,230,7.387,7.795
522,Volvo,C70,2008,227,6.196,7.086
523,Chevrolet,Cobalt,2009,155,3.764,6.595
524,GMC,Savana,2008,301,8.365,10.018
525,Cadillac,CTS Sport Wagon,2012,270,11.163,14.528
526,Volvo,S40,2007,168,4.533,7.939
527,Honda,Civic,2012,110,6.032,13.183
528,Acura,NSX,2017,573,125.93,125.93
529,Volvo,S60,2011,300,9.331,9.438
530,Ford,Edge,2009,265,7.003,8.906
531,Volvo,C70,2009,227,8.514,8.653
532,Buick,Envision,2017,197,22.997,29.695
533,Cadillac,CTS Sport Wagon,2011,270,10.103,26.28
534,Chevrolet,Cobalt,2008,148,3.121,3.966
535,Dodge,Charger,2010,178,6.78,9.844
536,Chrysler,Pacifica Hybrid,2018,260,33.139,37.586
537,Volvo,S60,2009,208,6.712,7.449
538,Ford,Edge,2008,265,6.651,8.054
539,Honda,Civic,2011,113,5.029,10.68
540,Volvo,C70,2008,227,6.196,7.086
541,Chevrolet,Cobalt,2007,148,3.546,5.736
542,Cadillac,CTS Sport Wagon,2010,270,7.919,18.32
543,Volvo,S40,2011,227,7.053,12.446
544,Volvo,S80,2016,240,19.567,21.785
545,Volvo,S60,2008,208,6.079,11.501
546,Ford,Edge,2007,265,5.393,6.256
547,Dodge,Charger,2009,178,6.649,10.175
548,Honda,Civic,2010,113,4.022,10.38
549,Chrysler,Pacifica Hybrid,2017,260,30.295,32.611
550,Cadillac,DTS,2011,275,8.036,23.646
551,Volvo,S40,2010,168,5.831,10.031
552,Audi,A5,2021,201,46.506,73.515
553,Volvo,S40,2011,227,7.053,12.446
554,Volvo,S80,2015,240,16.808,27.42
555,Volvo,S60,2007,208,4.637,10.738
556,Buick,LaCrosse,2019,194,22.687,37.215
557,Chrysler,PT Cruiser,2010,150,4.834,4.834
558,Dodge,Charger,2008,186,5.053,11.201
559,Honda,Civic,2009,140,4.762,9.448
560,Acura,RDX,2021,272,38.4,51
561,Volvo,S40,2009,168,5.974,7.021
562,Cadillac,DTS,2010,275,7.421,9.492
563,Volvo,S40,2010,168,5.831,10.031
564,Volvo,S60,2021,250,38.95,64.8
565,Volvo,S80,2014,240,14.931,18.694
566,Honda,Civic,2008,113,3.742,11.33
567,Dodge,Charger,2007,200,5.324,11.735
568,Buick,LaCrosse,2018,194,21.34,33.848
569,Chrysler,PT Cruiser,2009,150,4.16,5.292
570,BMW,4-Series,2021,255,45.6,74.7
571,Audi,A5,2020,248,42.758,68.683
572,Acura,RDX,2020,272,38.392,45.788
